CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
SMK,Stowmarket Rail Station,605160,258850,3,TM 05160 58850,52.189711,1.0000053
SWR,Stewartby Rail Station,501496,242222,1,TL 01496 42222,52.069078,-0.52069222
SYA,Styal Rail Station,384090,383520,1,SJ 84090 83520,53.348328,-2.2404560
SUY,Sudbury (Suffolk) Rail Station,587723,241073,1,TL 87723 41073,52.036277,0.73544430
SUM,Summerston Rail Station,256817,669675,3,NS 56817 69675,55.898835,-4.2915384
SUU,Sunbury Rail Station,510119,169998,1,TQ 10119 69998,51.418312,-0.41778266
SDR,Saunderton Rail Station,481311,198112,1,SU 81311 98112,51.675901,-0.82546850
SNG,Sunningdale Rail Station,495206,166764,1,SU 95206 66764,51.391939,-0.63304071
SNY,Sunnymeads Rail Station,500160,175575,2,TQ 00160 75575,51.470287,-0.55937422
SUR,Surbiton Rail Station,518100,167300,1,TQ 18100 67300,51.392458,-0.30395855
SQE,Surrey Quays Rail Station,535642,178946,0,TQ 35642 78946,51.493195,-0.047518660
SUT,Sutton Coldfield Rail Station,411970,296360,1,SP 11970 96360,52.564940,-1.8248441
SUO,Sutton (London) Rail Station,526034,163826,1,TQ 26034 63826,51.359531,-0.19121481
SUC,Sutton Common Rail Station,525635,165525,2,TQ 25635 65525,51.374889,-0.19634257
SVK,Seven Kings Rail Station,545455,187100,2,TQ 45455 87100,51.564025,0.097100148
SEV,Sevenoaks Rail Station,552267,155340,1,TQ 52267 55340,51.276864,0.18166893
SVB,Severn Beach Rail Station,354033,184781,2,ST 54033 84781,51.560025,-2.6644767
SWL,Swale Rail Station,591234,169158,1,TQ 91234 69158,51.389235,0.74713363
SWA,Swansea Rail Station,265700,193600,1,SS 65700 93600,51.625144,-3.9415460
SWY,Sway Rail Station,427590,98420,2,SZ 27590 98420,50.784701,-1.6099958
SDW,Sandwich Rail Station,633258,157613,1,TR 33258 57613,51.269902,1.3425681
SPH,Shepherds Well Rail Station,625800,148200,1,TR 25800 48200,51.188398,1.2299102
SWN,Swinton (South Yorks) Rail Station,446160,399060,1,SK 46160 99060,53.486238,-1.3058213
SAY,Swanley Rail Station,551016,168271,2,TQ 51016 68271,51.393385,0.16922535
SWD,Swinderby Rail Station,486820,364390,1,SK 86820 64390,53.169554,-0.70267946
SWM,Swanscombe Rail Station,560582,174761,1,TQ 60582 74761,51.449069,0.30954319
SNN,Swinton (Manchester) Rail Station,377720,402070,1,SD 77720 02070,53.514831,-2.3374610
SNW,Swanwick Rail Station,451750,108720,1,SU 51750 08720,50.875668,-1.2658524
SOW,Sowerby Bridge Rail Station,406235,423495,2,SE 06235 23495,53.707845,-1.9070215
SWE,Swineshead Rail Station,521840,342920,1,TF 21840 42920,52.969802,-0.18716743
SWG,Swaythling Rail Station,443910,115930,1,SU 43910 15930,50.941147,-1.3764086
SAX,Saxmundham Rail Station,638520,263150,1,TM 38520 63150,52.214894,1.4901649
SYD,Sydenham Rail Station,535370,171600,1,TQ 35370 71600,51.427246,-0.054243978
SYH,Sydenham Hill Rail Station,533540,172160,1,TQ 33540 72160,51.432712,-0.080339568
SYL,Syon Lane Rail Station,516420,177200,2,TQ 16420 77200,51.481783,-0.32484191
SYS,Syston Rail Station,462113,311120,2,SK 62113 11120,52.694209,-1.0823988
TBY,Thornaby Rail Station,445275,518450,2,NZ 45275 18450,54.559269,-1.3014120
TAC,Tackley Rail Station,448450,220530,2,SP 48450 20530,51.881236,-1.2975355
TAD,Tadworth Rail Station,523100,156200,1,TQ 23100 56200,51.291636,-0.23596466
TAF,Taffs Well Rail Station,312510,183190,1,ST 12510 83190,51.540803,-3.2629378
TAI,Tain Rail Station,278185,882385,4,NH 78185 82385,57.814418,-4.0520490
TLB,Talybont Rail Station,258660,321510,1,SH 58660 21510,52.772628,-4.0965963
TLC,Tal-y-Cafn Rail Station,278720,371690,1,SH 78720 71690,53.228361,-3.8182631
TAB,Tame Bridge Parkway Rail Station,401710,295010,1,SP 01710 95010,52.552931,-1.9762115
TYB,Tan-y-Bwlch Ffestiniog Railway Station,264965,341560,2,SH 64965 41560,52.954369,-4.0115153
TAP,Taplow Rail Station,491580,181340,1,SU 91580 81340,51.523561,-0.68137044
TAT,Tattenham Corner Rail Station,522590,158140,1,TQ 22590 58140,51.309182,-0.24260928
TAU,Taunton Rail Station,322755,125460,2,ST 22755 25460,51.023301,-3.1027415
TAY,Taynuilt Rail Station,200340,731220,3,NN 00340 31220,56.430806,-5.2396098
TPC,Thorpe Culvert Rail Station,547275,360695,2,TF 47275 60695,53.123090,0.19941515
THD,Thames Ditton Rail Station,515660,166870,2,TQ 15660 66870,51.389095,-0.33915218
TED,Teddington Rail Station,516019,170815,2,TQ 16019 70815,51.424479,-0.33270598
TGM,Teignmouth Rail Station,294200,73100,3,SX 94200 73100,50.548060,-3.4946627
TFC,Telford Central Rail Station,370285,309359,1,SJ 70285 09359,52.681106,-2.4409709
TEN,Tenby Rail Station,212940,200600,1,SN 12940 00600,51.672943,-4.7066959
TEY,Teynham Rail Station,595666,163108,1,TQ 95666 63108,51.333391,0.80742552
TNA,Thornton Abbey Rail Station,510930,418840,2,TA 10930 18840,53.654301,-0.32302148
THT,Thorntonhall Rail Station,258870,655110,1,NS 58870 55110,55.768677,-4.2511621
THA,Thatcham Rail Station,452752,166361,1,SU 52752 66361,51.393843,-1.2431900
TBD,Three Bridges Rail Station,528800,136900,1,TQ 28800 36900,51.116922,-0.16118408
TEO,Theobalds Grove Rail Station,535927,201128,1,TL 35927 01128,51.692455,-0.034831380
THE,Theale Rail Station,464400,170900,1,SU 64400 70900,51.433450,-1.0749730
TLK,The Lakes Rail Station,410675,273465,2,SP 10675 73465,52.359142,-1.8446734
TTF,Thetford Rail Station,586770,283670,3,TL 86770 83670,52.419124,0.74507298
THO,Thornford Rail Station,359390,112505,2,ST 59390 12505,50.910575,-2.5789872
THH,Thatto Heath Rail Station,349650,393580,1,SJ 49650 93580,53.436581,-2.7593744
THI,Thirsk Rail Station,441000,481570,3,SE 41000 81570,54.228210,-1.3725880
THB,Thornliebank Rail Station,255230,659955,2,NS 55230 59955,55.811098,-4.3117070
TOK,Three Oaks Rail Station,583835,114545,2,TQ 83835 14545,50.901114,0.61305097
TPB,Thorpe Bay Rail Station,591627,185689,1,TQ 91627 85689,51.537569,0.76172795
TNN,Thorne North Rail Station,468080,413770,1,SE 68080 13770,53.616061,-0.97233078
TNS,Thorne South Rail Station,469240,412370,2,SE 69240 12370,53.603328,-0.95510921
TLS,Thorpe-le-Soken Rail Station,617845,221285,2,TM 17845 21285,51.847635,1.1614004
THU,Thurgarton Rail Station,469695,348465,2,SK 69695 48465,53.028942,-0.96225698
TTH,Thornton Heath Rail Station,532250,168350,2,TQ 32250 68350,51.398776,-0.10030594
THS,Thurso Rail Station,311300,967920,4,ND 11300 67920,58.590175,-3.5275481
TRS,Thurston Rail Station,591823,265030,2,TL 91823 65030,52.250002,0.80865271
THL,Tile Hill Rail Station,427530,277530,1,SP 27530 77530,52.395102,-1.5968484
TLH,Tilehurst Rail Station,467483,175173,1,SU 67483 75173,51.471507,-1.0298159
TIP,Tipton Rail Station,395640,292510,1,SO 95640 92510,52.530440,-2.0657012
TIR,Tir-phil Rail Station,314000,203200,1,SO 14000 03200,51.720905,-3.2463801
TIS,Tisbury Rail Station,394560,129060,1,ST 94560 29060,51.060851,-2.0790021
TVP,Tiverton Parkway Rail Station,304520,113960,2,ST 04520 13960,50.917176,-3.3596440
TIL,Tilbury Town Rail Station,563626,176337,1,TQ 63626 76337,51.462357,0.35403847
TAL,Talsarnau Rail Station,261000,336100,1,SH 61000 36100,52.904306,-4.0681546
TMC,Templecombe Rail Station,370785,122540,2,ST 70785 22540,51.001501,-2.4177247
TAH,Tamworth High Level Rail Station,421316,304460,2,SK 21316 04460,52.637473,-1.6864496
TAM,Tamworth Rail Station,421315,304460,5,SK 21315 04460,52.637473,-1.6864644
TNP,Tonypandy Rail Station,299790,192210,1,SS 99790 92210,51.619761,-3.4488692
TOD,Todmorden Rail Station,393520,424160,1,SD 93520 24160,53.713816,-2.0996592
TOL,Tolworth Rail Station,519845,165605,2,TQ 19845 65605,51.376859,-0.27946146
TON,Tonbridge Rail Station,558789,146027,2,TQ 58789 46027,51.191410,0.27097305
TDU,Tondu Rail Station,289460,184370,1,SS 89460 84370,51.547360,-3.5955494
TNF,Tonfanau Rail Station,256310,303870,1,SH 56310 03870,52.613540,-4.1236979
TPN,Ton Pentre Rail Station,297270,195380,1,SS 97270 95380,51.647799,-3.4861873
TOO,Tooting Rail Station,527950,170585,2,TQ 27950 70585,51.419847,-0.16127773
TOP,Topsham Rail Station,296646,88419,2,SX 96646 88419,50.686215,-3.4644226
TQY,Torquay Rail Station,290555,63505,2,SX 90555 63505,50.461132,-3.5432752
TRR,Torre Rail Station,290360,64850,1,SX 90360 64850,50.473187,-3.5464159
TOT,Totnes Rail Station,280170,60920,3,SX 80170 60920,50.435863,-3.6886923
TTN,Totton Rail Station,436480,113285,2,SU 36480 13285,50.917879,-1.4824173
TWN,Town Green Rail Station,340160,405510,1,SD 40160 05510,53.542805,-2.9044866
TRD,Troed-y-Rhiw Rail Station,307050,202380,1,SO 07050 02380,51.712424,-3.3467440
TRF,Trefforest Rail Station,308300,188900,1,ST 08300 88900,51.591461,-3.3251177
TRH,Trehafod Rail Station,304470,191050,1,ST 04470 91050,51.610149,-3.3809745
TRB,Treherbert Rail Station,293860,198170,1,SS 93860 98170,51.672241,-3.5363024
TRY,Treorchy Rail Station,295940,196490,1,SS 95940 96490,51.657531,-3.5057338
TRA,Trafford Park Rail Station,379470,395385,2,SJ 79470 95385,53.454816,-2.3106311
TRE,Trefforest Estate Rail Station,310670,186280,1,ST 10670 86280,51.568290,-3.2902481
TRM,Trimley Rail Station,628080,236100,1,TM 28080 36100,51.976527,1.3195364
