CrsCode,StationName,Easting,Northing,RevisionNumber,Grid Reference,Latitude,Longitude
NMC,New Mills Central Rail Station,399720,385330,1,SJ9972085330,53.36484,-2.0056711
NMN,New Mills Newtown Rail Station,399530,384750,1,SJ9953084750,53.359627,-2.0085253
NMK,Newmarket Rail Station,564400,262700,4,TL6440062700,52.237943,0.40620825
NWP,Newport (S Wales) Rail Station,330780,188245,2,ST3078088245,51.588787,-3.0005434
NCT,Newark Castle Rail Station,479600,354300,1,SK7960054300,53.080002,-0.81316021
NSD,Newstead Rail Station,452240,352810,2,SK5224052810,53.069981,-1.2217877
NAY,Newton Aycliffe Rail Station,426600,524360,1,NZ2660024360,54.613701,-1.5896452
NEG,Newtongrange Rail Station,333175,664275,1,NT3317564275,55.866996,-3.0693658
NWN,Newton for Hyde Rail Station,395639,395516,2,SJ9563995516,53.456379,-2.0671424
NTN,Newton (S Lanarks) Rail Station,266450,660450,1,NS6645060450,55.818776,-4.1330547
NWR,Newtonmore Rail Station,271580,798450,3,NN7158098450,57.059144,-4.1191088
NLW,Newton-le-Willows Rail Station,359350,395320,1,SJ5935095320,53.453059,-2.6135981
NOA,Newton-on-Ayr Rail Station,234130,623160,1,NS3413023160,55.474052,-4.6258262
NWT,Newtown (Powys) Rail Station,311100,291300,3,SO1110091300,52.512312,-3.3113917
OKM,Oakham Rail Station,485690,309030,1,SK8569009030,52.672213,-0.73417118
OKN,Oakengates Rail Station,369670,310730,1,SJ6967010730,52.693396,-2.4501943
OBN,Oban Rail Station,185795,729888,3,NM8579529888,56.412485,-5.4739314
OCK,Ockendon Rail Station,559003,182828,2,TQ5900382828,51.52199,0.29046908
OLY,Ockley Rail Station,516477,140455,1,TQ1647740455,51.15151,-0.3360137
OKE,Okehampton Rail Station,259220,94430,3,SX5922094430,50.732379,-3.9962148
OKL,Oakleigh Park Rail Station,527000,194800,1,TQ2700094800,51.637676,-0.1662094
OLF,Oldfield Park Rail Station,373614,164533,2,ST7361464533,51.379229,-2.3805079
ORN,Old Roan Rail Station,336990,399330,1,SJ3699099330,53.486893,-2.9510715
OLD,Old Street Rail Station,532700,182500,2,TQ3270082500,51.52583,-0.088535166
OHL,Old Hill Rail Station,396280,285890,1,SO9628085890,52.470932,-2.0561907
OLT,Olton Rail Station,413400,282300,1,SP1340082300,52.43851,-1.8043094
OVE,Overpool Rail Station,338490,376740,2,SJ3849076740,53.284046,-2.9240606
ORE,Ore Rail Station,582458,110693,1,TQ8245810693,50.866947,0.59156788
OPK,Orrell Park Rail Station,336140,396560,1,SJ3614096560,53.461896,-2.9633154
OMS,Ormskirk Rail Station,341740,408435,4,SD4174008435,53.569271,-2.8811929
ORP,Orpington Rail Station,545505,165875,2,TQ4550565875,51.373294,0.089090463
ORR,Orrell Rail Station,353111,403973,2,SD5311103973,53.53031,-2.7088373
OTF,Otford Rail Station,553200,159407,1,TQ5320059407,51.313157,0.19677872
OUN,Oulton Broad North Rail Station,652420,293140,3,TM5242093140,52.477759,1.7157107
OUS,Oulton Broad South Rail Station,651920,292205,4,TM5192092205,52.469602,1.7076585
OUT,Outwood Rail Station,432410,424430,2,SE3241024430,53.715285,-1.5104003
OVR,Overton Rail Station,451790,150830,3,SU5179050830,51.254292,-1.2592676
OXN,Oxenholme Lake District Rail Station,353125,490165,2,SD5312590165,54.304925,-2.7218701
OXF,Oxford Rail Station,450477,206341,1,SP5047706341,51.753494,-1.2701534
OPY,Oxford Parkway Rail Station,450122,211963,1,SP5012211963,51.80407,-1.2744859
OXS,Oxshott Rail Station,514172,160973,1,TQ1417260973,51.336394,-0.36241931
OXT,Oxted Rail Station,539317,152862,1,TQ3931752862,51.257907,-0.004833578
OXT,Oxted Rail Station,539318,152862,2,TQ3931852862,51.257906,-0.004819256
PDG,Padgate Rail Station,363080,390030,1,SJ6308090030,53.405787,-2.5568106
PAD,London Paddington Rail Station,526648,181251,2,TQ2664881251,51.515994,-0.17617397
PGN,Paignton Rail Station,288960,60600,5,SX8896060600,50.434717,-3.5648757
PAL,Palmers Green Rail Station,530915,192745,2,TQ3091592745,51.618313,-0.11043664
PAN,Pangbourne Rail Station,463251,176664,1,SU6325176664,51.4854,-1.0904704
PNL,Pannal Rail Station,430710,451460,1,SE3071051460,53.958323,-1.533467
PBL,Parbold Rail Station,349080,410740,2,SD4908010740,53.590753,-2.7707482
PAR,Par Rail Station,207700,54100,1,SX0770054100,50.355325,-4.7046753
PSN,Parson Street Rail Station,357849,170655,2,ST5784970655,51.433318,-2.6077415
PRN,Parton Rail Station,297900,520610,2,NX9790020610,54.570367,-3.5808002
PWY,Patchway Rail Station,361060,180930,1,ST6106080930,51.525931,-2.5626893
PTT,Patterton Rail Station,253675,657725,2,NS5367557725,55.790609,-4.3352983
PBO,Peterborough Rail Station,518700,298900,1,TL1870098900,52.574974,-0.24983697
PEM,Pemberton Rail Station,355662,403959,2,SD5566203959,53.530406,-2.6703539
PTC,Portchester Rail Station,461749,105835,2,SU6174905835,50.848748,-1.1242399
QRP,Queens Road Peckham Rail Station,535020,176745,2,TQ3502076745,51.473565,-0.05731357
PMR,Peckham Rye Rail Station,534190,176330,1,TQ3419076330,51.470032,-0.06941441
PEA,Peartree Rail Station,435535,333413,2,SK3553533413,52.896993,-1.4732139
PEG,Pegswood Rail Station,422760,587150,2,NZ2276087150,55.178128,-1.6441658
PMD,Pembroke Dock Rail Station,197040,203550,4,SM9704003550,51.693911,-4.9380474
PMB,Pembroke Rail Station,199160,201130,4,SM9916001130,51.672944,-4.9060229
PEN,Penarth Rail Station,318460,171420,1,ST1846071420,51.435887,-3.1744407
PCD,Pencoed Rail Station,296000,181700,1,SS9600081700,51.524606,-3.500479
PNW,Penge West Rail Station,534940,170510,1,TQ3494070510,51.417553,-0.060839906
PGM,Pengam Rail Station,315030,197570,1,ST1503097570,51.670453,-3.2300997
PHG,Penhelig Rail Station,262100,296150,1,SN6210096150,52.545685,-4.0350251
PNS,Penistone Rail Station,425105,403275,2,SE2510503275,53.525545,-1.6227807
PNM,Penmere Rail Station,179835,32360,2,SW7983532360,50.150329,-5.0831925
PNC,Penychain Rail Station,242800,336500,1,SH4280036500,52.902882,-4.3387214
PNZ,Penzance Rail Station,147588,30599,2,SW4758830599,50.121672,-5.5325651
PRW,Perranwell Rail Station,178080,39810,2,SW7808039810,50.216578,-5.1120691
PSH,Pershore Rail Station,395200,248030,4,SO9520048030,52.130553,-2.0715368
PTH,Perth Rail Station,311220,723133,2,NO1122023133,56.392093,-3.4396979
PET,Petts Wood Rail Station,544440,167550,1,TQ4444067550,51.388617,0.074480846
PEW,Pewsey Rail Station,416070,160370,1,SU1607060370,51.342191,-1.7706752
PMH,Portsmouth Harbour Rail Station,462973,100090,2,SU6297300090,50.796961,-1.1078402
PTL,Priesthill & Darnley Rail Station,253280,660140,1,NS5328060140,55.81217,-4.3428946
PIL,Pilning Rail Station,356620,184380,1,ST5662084380,51.556625,-2.6271116
PIN,Pinhoe Rail Station,296413,94160,2,SX9641394160,50.737783,-3.4693329
PSE,Pitsea Rail Station,573828,187585,3,TQ7382887585,51.560358,0.50629304
PMR,Peckham Rye Rail Station,534191,176330,2,TQ3419176330,51.470032,-0.069400021
PKT,Park Street Rail Station,514733,204274,1,TL1473304274,51.725457,-0.34027656
PDW,Paddock Wood Rail Station,567079,145272,1,TQ6707945272,51.182265,0.38914861
PLE,Pollokshields East Rail Station,258040,663200,1,NS5804063200,55.841066,-4.2686028
PLW,Pollokshields West Rail Station,257580,662840,1,NS5758062840,55.837698,-4.2757533
PWE,Pollokshaws East Rail Station,256835,661410,2,NS5683561410,55.824639,-4.2868851
PWW,Pollokshaws West Rail Station,255910,661350,1,NS5591061350,55.823825,-4.3016055
PMP,Plumpton Rail Station,536420,116148,1,TQ3642016148,50.928661,-0.060181109
